notice_date,code,pdf_url,screens,decision,actor,registered_date,released,held,after_pledged,evidence
2024-03-13,sz.000426,https://static.cninfo.com.cn/finalpage/2024-03-13/1219295918.PDF,after_only,pending,,,,,,
2024-03-19,sh.603099,https://static.cninfo.com.cn/finalpage/2024-03-19/1219327209.PDF,vertical,prelim,,,,,,
2024-03-19,sh.603501,https://static.cninfo.com.cn/finalpage/2024-03-19/1219328208.PDF,vertical,prelim,,,,,,
2024-03-25,sz.300692,https://static.cninfo.com.cn/finalpage/2024-03-25/1219400890.PDF,after_only,pending,,,,,,
2024-03-28,sz.002176,https://static.cninfo.com.cn/finalpage/2024-03-28/1219424969.PDF,after_only,verified,江西江特电气集团有限公司,2024-03-26,27000000,240875533,96100000,原件列明控股股东解押27000000股，直接持股240875533股、剩余质押96100000股
2024-03-30,sh.603220,https://static.cninfo.com.cn/finalpage/2024-03-30/1219461129.PDF,vertical,prelim,,,,,,
2024-04-02,sz.002532,https://static.cninfo.com.cn/finalpage/2024-04-02/1219490466.PDF,after_only,verified,石河子市锦隆能源产业链有限公司,2024-04-01,209250000,913175400,256191000,原件两笔解押合计209250000股；直接持股和剩余质押取锦隆能源单独行，未用一致行动人合并比例
2024-04-03,sz.300123,https://static.cninfo.com.cn/finalpage/2024-04-03/1219515862.PDF,after_only,reject,,,,,,累计数混列质押和设定担保，无法核实纯质押比例
2024-04-09,sz.300001,https://static.cninfo.com.cn/finalpage/2024-04-09/1219551171.PDF,after_only,pending,,,,,,
2024-04-11,sz.300582,https://static.cninfo.com.cn/finalpage/2024-04-11/1219579717.PDF,table,prelim,,,,,,
2024-04-18,sh.603665,https://static.cninfo.com.cn/finalpage/2024-04-18/1219646209.PDF,vertical,prelim,,,,,,
2024-04-18,sz.002428,https://static.cninfo.com.cn/finalpage/2024-04-18/1219649403.PDF,after_only,pending,,,,,,
2024-04-18,sz.300338,https://static.cninfo.com.cn/finalpage/2024-04-18/1219645947.PDF,after_only,pending,,,,,,
2024-04-19,sz.000565,https://static.cninfo.com.cn/finalpage/2024-04-19/1219665547.PDF,after_only,pending,,,,,,
2024-04-19,sz.300594,https://static.cninfo.com.cn/finalpage/2024-04-19/1219691598.PDF,after_only,pending,,,,,,
2024-04-23,sz.300123,https://static.cninfo.com.cn/finalpage/2024-04-23/1219748721.PDF,after_only,reject,,,,,,累计数混列质押和设定担保，无法核实纯质押比例
2024-04-24,sh.603815,https://static.cninfo.com.cn/finalpage/2024-04-24/1219765802.PDF,vertical,prelim,,,,,,
2024-04-26,sz.300275,https://static.cninfo.com.cn/finalpage/2024-04-26/1219814729.PDF,after_only,pending,,,,,,
2024-04-29,sz.002646,https://static.cninfo.com.cn/finalpage/2024-04-29/1219899798.PDF,after_only,pending,,,,,,
2024-05-14,sz.300352,https://static.cninfo.com.cn/finalpage/2024-05-14/1220051978.PDF,table,prelim,,,,,,
2024-05-23,sz.000989,https://static.cninfo.com.cn/finalpage/2024-05-23/1220140944.PDF,after_only,pending,,,,,,
2024-05-23,sz.300352,https://static.cninfo.com.cn/finalpage/2024-05-23/1220143592.PDF,table,prelim,,,,,,
2024-05-29,sh.600613,https://static.cninfo.com.cn/finalpage/2024-05-29/1220184389.PDF,vertical,prelim,,,,,,
2024-06-04,sz.301152,https://static.cninfo.com.cn/finalpage/2024-06-04/1220244869.PDF,table,prelim,,,,,,
2024-06-11,sz.300322,https://static.cninfo.com.cn/finalpage/2024-06-11/1220323984.PDF,after_only,pending,,,,,,
2024-06-28,sz.002861,https://static.cninfo.com.cn/finalpage/2024-06-28/1220483621.PDF,after_only,pending,,,,,,
2024-07-04,sz.300903,https://static.cninfo.com.cn/finalpage/2024-07-04/1220533604.PDF,table,prelim,,,,,,
2024-07-06,sh.603300,https://static.cninfo.com.cn/finalpage/2024-07-06/1220539476.PDF,vertical,prelim,,,,,,
2024-07-09,sh.603300,https://static.cninfo.com.cn/finalpage/2024-07-09/1220560042.PDF,vertical,reject,,,,,,原件跨层行仅为一致行动人，非直接控股股东
2024-07-10,sz.301023,https://static.cninfo.com.cn/finalpage/2024-07-10/1220601201.PDF,table,prelim,,,,,,
2024-07-11,sz.300645,https://static.cninfo.com.cn/finalpage/2024-07-11/1220615079.PDF,table,prelim,,,,,,
2024-07-16,sh.600137,https://static.cninfo.com.cn/finalpage/2024-07-16/1220646008.PDF,vertical,prelim,,,,,,
2024-07-17,sz.300244,https://static.cninfo.com.cn/finalpage/2024-07-17/1220662690.PDF,table,prelim,,,,,,
2024-07-23,sh.603797,https://static.cninfo.com.cn/finalpage/2024-07-23/1220700725.PDF,vertical,prelim,,,,,,
2024-07-24,sh.600603,https://static.cninfo.com.cn/finalpage/2024-07-24/1220711459.PDF,vertical,reject,,,,,,原件使用控股股东及一致行动人合并分母，不能核实直接比例
2024-07-31,sh.603719,https://static.cninfo.com.cn/finalpage/2024-07-31/1220755140.PDF,vertical,prelim,,,,,,
2024-08-02,sz.300552,https://static.cninfo.com.cn/finalpage/2024-08-02/1220778207.PDF,after_only,pending,,,,,,
2024-08-06,sh.603085,https://static.cninfo.com.cn/finalpage/2024-08-06/1220796180.PDF,vertical,prelim,,,,,,
2024-08-07,sz.002973,https://static.cninfo.com.cn/finalpage/2024-08-07/1220805302.PDF,table,prelim,,,,,,
2024-08-08,sh.600234,https://static.cninfo.com.cn/finalpage/2024-08-08/1220814578.PDF,vertical,prelim,,,,,,
2024-08-08,sh.601615,https://static.cninfo.com.cn/finalpage/2024-08-08/1220814474.PDF,vertical,prelim,,,,,,
2024-08-08,sz.003038,https://static.cninfo.com.cn/finalpage/2024-08-08/1220814336.PDF,after_only,pending,,,,,,
2024-08-08,sz.300587,https://static.cninfo.com.cn/finalpage/2024-08-08/1220823878.PDF,after_only,pending,,,,,,
2024-08-10,sh.603322,https://static.cninfo.com.cn/finalpage/2024-08-10/1220834124.PDF,vertical,prelim,,,,,,
2024-08-17,sh.600711,https://static.cninfo.com.cn/finalpage/2024-08-17/1220892216.PDF,vertical,prelim,,,,,,
2024-08-22,sz.002943,https://static.cninfo.com.cn/finalpage/2024-08-22/1220936805.PDF,after_only,pending,,,,,,
2024-08-24,sh.600297,https://static.cninfo.com.cn/finalpage/2024-08-24/1220962554.PDF,vertical,prelim,,,,,,
2024-08-31,sz.300473,https://static.cninfo.com.cn/finalpage/2024-08-31/1221077291.PDF,after_only,pending,,,,,,
2024-09-03,sz.002384,https://static.cninfo.com.cn/finalpage/2024-09-03/1221111744.PDF,table,prelim,,,,,,
2024-09-04,sh.603033,https://static.cninfo.com.cn/finalpage/2024-09-04/1221122173.PDF,vertical,prelim,,,,,,
2024-09-05,sh.600331,https://static.cninfo.com.cn/finalpage/2024-09-05/1221137493.PDF,vertical,reject,,,,,,解押伴随司法重整和被动股份转移
2024-09-10,sz.000010,https://static.cninfo.com.cn/finalpage/2024-09-10/1221175844.PDF,after_only,reject,,,,,,原件披露司法处置及冻结，非单纯净解押
2024-09-24,sz.000010,https://static.cninfo.com.cn/finalpage/2024-09-24/1221275274.PDF,after_only,reject,,,,,,原件披露司法拍卖完成过户，非单纯净解押
2024-09-28,sh.603033,https://static.cninfo.com.cn/finalpage/2024-09-28/1221311365.PDF,vertical,prelim,,,,,,
2024-10-08,sz.300848,https://static.cninfo.com.cn/finalpage/2024-10-08/1221343823.PDF,table,prelim,,,,,,
2024-10-12,sh.600200,https://static.cninfo.com.cn/finalpage/2024-10-12/1221366594.PDF,vertical,prelim,,,,,,
2024-10-14,sz.300400,https://static.cninfo.com.cn/finalpage/2024-10-14/1221384865.PDF,after_only,pending,,,,,,
2024-10-16,sz.002009,https://static.cninfo.com.cn/finalpage/2024-10-16/1221396765.PDF,after_only,pending,,,,,,
2024-10-17,sh.600318,https://static.cninfo.com.cn/finalpage/2024-10-17/1221407347.PDF,vertical,prelim,,,,,,
2024-10-21,sz.002617,https://static.cninfo.com.cn/finalpage/2024-10-21/1221432279.PDF,after_only,pending,,,,,,
2024-10-23,sz.300353,https://static.cninfo.com.cn/finalpage/2024-10-23/1221489831.PDF,after_only,pending,,,,,,
2024-10-24,sh.603110,https://static.cninfo.com.cn/finalpage/2024-10-24/1221490082.PDF,vertical,reject,,,,,,解押伴随司法拍卖
2024-10-25,sz.300657,https://static.cninfo.com.cn/finalpage/2024-10-25/1221505608.PDF,after_only,pending,,,,,,
2024-10-26,sz.002326,https://static.cninfo.com.cn/finalpage/2024-10-26/1221520042.PDF,table,prelim,,,,,,
2024-10-29,sz.000010,https://static.cninfo.com.cn/finalpage/2024-10-29/1221544003.PDF,after_only,reject,,,,,,原件披露司法处置完成过户，非单纯净解押
2024-10-30,sz.300249,https://static.cninfo.com.cn/finalpage/2024-10-30/1221572801.PDF,after_only,pending,,,,,,
2024-11-01,sz.300667,https://static.cninfo.com.cn/finalpage/2024-11-01/1221602411.PDF,after_only,pending,,,,,,
2024-11-02,sz.002377,https://static.cninfo.com.cn/finalpage/2024-11-02/1221600966.PDF,after_only,pending,,,,,,
2024-11-04,sz.300826,https://static.cninfo.com.cn/finalpage/2024-11-04/1221624961.PDF,table,prelim,,,,,,
2024-11-07,sz.002319,https://static.cninfo.com.cn/finalpage/2024-11-07/1221639977.PDF,table,prelim,,,,,,
2024-11-08,sz.002632,https://static.cninfo.com.cn/finalpage/2024-11-08/1221648824.PDF,table,prelim,,,,,,
2024-11-12,sz.300691,https://static.cninfo.com.cn/finalpage/2024-11-12/1221697725.PDF,table,prelim,,,,,,
2024-11-18,sz.301023,https://static.cninfo.com.cn/finalpage/2024-11-18/1221766642.PDF,table,prelim,,,,,,
2024-11-20,sz.002428,https://static.cninfo.com.cn/finalpage/2024-11-20/1221776748.PDF,after_only,pending,,,,,,
2024-11-20,sz.300430,https://static.cninfo.com.cn/finalpage/2024-11-20/1221789287.PDF,table,prelim,,,,,,
2024-11-21,sz.000863,https://static.cninfo.com.cn/finalpage/2024-11-21/1221788974.PDF,after_only,pending,,,,,,
2024-11-22,sz.000035,https://static.cninfo.com.cn/finalpage/2024-11-22/1221803704.PDF,after_only,pending,,,,,,
2024-11-23,sh.603506,https://static.cninfo.com.cn/finalpage/2024-11-23/1221814693.PDF,vertical,prelim,,,,,,
2024-11-23,sz.002384,https://static.cninfo.com.cn/finalpage/2024-11-23/1221814649.PDF,table,prelim,,,,,,
2024-11-26,sz.002816,https://static.cninfo.com.cn/finalpage/2024-11-26/1221834403.PDF,after_only,pending,,,,,,
2024-11-30,sz.002266,https://static.cninfo.com.cn/finalpage/2024-11-30/1221890400.PDF,table,prelim,,,,,,
2024-12-06,sz.002266,https://static.cninfo.com.cn/finalpage/2024-12-06/1221939387.PDF,table,prelim,,,,,,
2024-12-10,sz.002532,https://static.cninfo.com.cn/finalpage/2024-12-10/1221964995.PDF,after_only,pending,,,,,,
2024-12-11,sz.300878,https://static.cninfo.com.cn/finalpage/2024-12-11/1221996383.PDF,after_only,pending,,,,,,
2024-12-12,sz.301033,https://static.cninfo.com.cn/finalpage/2024-12-12/1222006834.PDF,table,prelim,,,,,,
2024-12-13,sz.300100,https://static.cninfo.com.cn/finalpage/2024-12-13/1222013714.PDF,table,prelim,,,,,,
2024-12-13,sz.301152,https://static.cninfo.com.cn/finalpage/2024-12-13/1222005272.PDF,table,prelim,,,,,,
2024-12-14,sh.601218,https://static.cninfo.com.cn/finalpage/2024-12-14/1222014205.PDF,vertical,prelim,,,,,,
2024-12-18,sz.002715,https://static.cninfo.com.cn/finalpage/2024-12-18/1222046445.PDF,after_only,pending,,,,,,
2024-12-20,sz.300276,https://static.cninfo.com.cn/finalpage/2024-12-20/1222089919.PDF,after_only,reject,,,,,,原件说明质押回购违约处置股份转让，不能视为单纯风险缓释
2024-12-21,sz.300925,https://static.cninfo.com.cn/finalpage/2024-12-21/1222090215.PDF,after_only,pending,,,,,,
2024-12-24,sz.002532,https://static.cninfo.com.cn/finalpage/2024-12-24/1222112587.PDF,after_only,pending,,,,,,
2024-12-27,sz.300961,https://static.cninfo.com.cn/finalpage/2024-12-27/1222166661.PDF,table,prelim,,,,,,
2024-12-28,sz.000703,https://static.cninfo.com.cn/finalpage/2024-12-28/1222165106.PDF,after_only,verified,浙江恒逸集团有限公司,2024-12-26,904754523,1488933728,199450000,原件三笔于12月25日至26日解除，合计904754523股；直接持股1488933728股、剩余质押199450000股
2024-12-28,sz.300925,https://static.cninfo.com.cn/finalpage/2024-12-28/1222162885.PDF,after_only,pending,,,,,,
2024-12-30,sz.300666,https://static.cninfo.com.cn/finalpage/2024-12-30/1222183988.pdf,table,prelim,,,,,,
2024-12-30,sz.301023,https://static.cninfo.com.cn/finalpage/2024-12-30/1222180280.PDF,table,prelim,,,,,,
2025-01-01,sh.603319,https://static.cninfo.com.cn/finalpage/2025-01-01/1222190918.PDF,vertical,pending,,,,,,
2025-01-02,sz.300538,https://static.cninfo.com.cn/finalpage/2025-01-02/1222203809.PDF,table,pending,,,,,,
2025-01-07,sz.002074,https://static.cninfo.com.cn/finalpage/2025-01-07/1222244923.PDF,table,pending,,,,,,
2025-01-08,sz.002729,https://static.cninfo.com.cn/finalpage/2025-01-08/1222256393.PDF,after_only,pending,,,,,,
2025-01-10,sh.605366,https://static.cninfo.com.cn/finalpage/2025-01-10/1222284738.PDF,vertical,pending,,,,,,
2025-01-14,sh.605358,https://static.cninfo.com.cn/finalpage/2025-01-14/1222319820.PDF,vertical,pending,,,,,,
2025-01-15,sh.603351,https://static.cninfo.com.cn/finalpage/2025-01-15/1222332169.PDF,vertical,pending,,,,,,
2025-01-15,sz.300298,https://static.cninfo.com.cn/finalpage/2025-01-15/1222332454.PDF,table,pending,,,,,,
2025-01-18,sh.603506,https://static.cninfo.com.cn/finalpage/2025-01-18/1222363712.PDF,vertical,pending,,,,,,
2025-01-20,sz.301263,https://static.cninfo.com.cn/finalpage/2025-01-20/1222379175.PDF,table,pending,,,,,,
2025-01-21,sz.002598,https://static.cninfo.com.cn/finalpage/2025-01-21/1222377544.PDF,after_only,pending,,,,,,
2025-01-23,sh.603318,https://static.cninfo.com.cn/finalpage/2025-01-23/1222403379.PDF,vertical,pending,,,,,,
2025-01-25,sh.605589,https://static.cninfo.com.cn/finalpage/2025-01-25/1222427632.PDF,vertical,pending,,,,,,
2025-02-05,sz.301035,https://static.cninfo.com.cn/finalpage/2025-02-05/1222458906.PDF,table,pending,,,,,,
2025-02-18,sh.603666,https://static.cninfo.com.cn/finalpage/2025-02-18/1222558221.PDF,vertical,pending,,,,,,
2025-02-20,sh.603626,https://static.cninfo.com.cn/finalpage/2025-02-20/1222579326.PDF,vertical,pending,,,,,,
2025-02-26,sz.300806,https://static.cninfo.com.cn/finalpage/2025-02-26/1222649924.PDF,table,pending,,,,,,
2025-03-03,sz.300806,https://static.cninfo.com.cn/finalpage/2025-03-03/1222688103.PDF,table,pending,,,,,,
2025-03-04,sz.301387,https://static.cninfo.com.cn/finalpage/2025-03-04/1222706456.PDF,after_only,pending,,,,,,
2025-03-06,sh.603773,https://static.cninfo.com.cn/finalpage/2025-03-06/1222719522.PDF,vertical,pending,,,,,,
2025-03-11,sz.300424,https://static.cninfo.com.cn/finalpage/2025-03-11/1222766987.PDF,after_only,pending,,,,,,
2025-03-13,sh.603787,https://static.cninfo.com.cn/finalpage/2025-03-13/1222777118.PDF,vertical,pending,,,,,,
2025-03-13,sz.300964,https://static.cninfo.com.cn/finalpage/2025-03-13/1222787733.PDF,after_only,pending,,,,,,
2025-03-15,sh.600613,https://static.cninfo.com.cn/finalpage/2025-03-15/1222804958.PDF,vertical,pending,,,,,,
2025-03-19,sh.603797,https://static.cninfo.com.cn/finalpage/2025-03-19/1222834841.PDF,vertical,pending,,,,,,
2025-03-20,sh.605303,https://static.cninfo.com.cn/finalpage/2025-03-20/1222843589.PDF,vertical,pending,,,,,,
2025-03-25,sh.603177,https://static.cninfo.com.cn/finalpage/2025-03-25/1222881144.PDF,vertical,pending,,,,,,
2025-04-02,sh.603169,https://static.cninfo.com.cn/finalpage/2025-04-02/1222983427.PDF,vertical,pending,,,,,,
2025-04-03,sz.300492,https://static.cninfo.com.cn/finalpage/2025-04-03/1223005565.PDF,table,pending,,,,,,
2025-04-04,sh.603668,https://static.cninfo.com.cn/finalpage/2025-04-04/1223003135.PDF,vertical,pending,,,,,,
2025-04-07,sz.300299,https://static.cninfo.com.cn/finalpage/2025-04-07/1223019528.PDF,after_only,pending,,,,,,
2025-04-09,sz.002646,https://static.cninfo.com.cn/finalpage/2025-04-09/1223038683.PDF,after_only,pending,,,,,,
2025-04-10,sh.600186,https://static.cninfo.com.cn/finalpage/2025-04-10/1223043622.PDF,vertical,pending,,,,,,
2025-04-12,sh.603956,https://static.cninfo.com.cn/finalpage/2025-04-12/1223067183.PDF,vertical,pending,,,,,,
2025-04-18,sz.002457,https://static.cninfo.com.cn/finalpage/2025-04-18/1223138496.PDF,after_only,pending,,,,,,
2025-04-18,sz.300430,https://static.cninfo.com.cn/finalpage/2025-04-18/1223142388.PDF,table,pending,,,,,,
2025-04-19,sz.002960,https://static.cninfo.com.cn/finalpage/2025-04-19/1223142286.PDF,after_only,pending,,,,,,
2025-04-21,sz.300942,https://static.cninfo.com.cn/finalpage/2025-04-21/1223183929.PDF,table,pending,,,,,,
2025-04-23,sz.300332,https://static.cninfo.com.cn/finalpage/2025-04-23/1223233512.PDF,table,pending,,,,,,
2025-04-25,sz.300596,https://static.cninfo.com.cn/finalpage/2025-04-25/1223301703.PDF,table,pending,,,,,,
2025-04-29,sh.600358,https://static.cninfo.com.cn/finalpage/2025-04-29/1223368198.PDF,vertical,pending,,,,,,
2025-04-30,sz.002842,https://static.cninfo.com.cn/finalpage/2025-04-30/1223405910.PDF,table,pending,,,,,,
2025-05-01,sh.603008,https://static.cninfo.com.cn/finalpage/2025-05-01/1223443270.PDF,vertical,pending,,,,,,
2025-05-08,sz.300686,https://static.cninfo.com.cn/finalpage/2025-05-08/1223493618.PDF,table,pending,,,,,,
2025-05-15,sh.603117,https://static.cninfo.com.cn/finalpage/2025-05-15/1223542593.PDF,vertical,pending,,,,,,
2025-05-17,sz.002681,https://static.cninfo.com.cn/finalpage/2025-05-17/1223569742.PDF,after_only,pending,,,,,,
2025-05-20,sh.600084,https://static.cninfo.com.cn/finalpage/2025-05-20/1223586264.PDF,vertical,pending,,,,,,
2025-05-22,sz.300971,https://static.cninfo.com.cn/finalpage/2025-05-22/1223633843.PDF,after_only,pending,,,,,,
2025-05-29,sh.600774,https://static.cninfo.com.cn/finalpage/2025-05-29/1223712178.PDF,vertical,pending,,,,,,
2025-05-30,sz.300035,https://static.cninfo.com.cn/finalpage/2025-05-30/1223731597.PDF,after_only,pending,,,,,,
2025-06-07,sz.002428,https://static.cninfo.com.cn/finalpage/2025-06-07/1223801279.PDF,after_only,pending,,,,,,
2025-06-09,sz.300440,https://static.cninfo.com.cn/finalpage/2025-06-09/1223824502.PDF,table,pending,,,,,,
2025-06-10,sh.600595,https://static.cninfo.com.cn/finalpage/2025-06-10/1223826603.PDF,vertical,pending,,,,,,
2025-06-13,sz.300249,https://static.cninfo.com.cn/finalpage/2025-06-13/1223876698.PDF,after_only,pending,,,,,,
2025-06-13,sz.300715,https://static.cninfo.com.cn/finalpage/2025-06-13/1223876543.PDF,table,pending,,,,,,
2025-06-14,sh.600993,https://static.cninfo.com.cn/finalpage/2025-06-14/1223877456.PDF,vertical,pending,,,,,,
2025-06-18,sz.002973,https://static.cninfo.com.cn/finalpage/2025-06-18/1223899259.PDF,table,pending,,,,,,
2025-06-20,sh.603666,https://static.cninfo.com.cn/finalpage/2025-06-20/1223934510.PDF,vertical,pending,,,,,,
2025-06-27,sh.600079,https://static.cninfo.com.cn/finalpage/2025-06-27/1223997269.PDF,vertical,pending,,,,,,
2025-06-27,sz.300903,https://static.cninfo.com.cn/finalpage/2025-06-27/1224017102.PDF,table,pending,,,,,,
2025-06-28,sh.603895,https://static.cninfo.com.cn/finalpage/2025-06-28/1224013696.PDF,vertical,pending,,,,,,
2025-07-01,sh.601106,https://static.cninfo.com.cn/finalpage/2025-07-01/1224039734.PDF,vertical,pending,,,,,,
2025-07-01,sh.603815,https://static.cninfo.com.cn/finalpage/2025-07-01/1224037274.PDF,vertical,pending,,,,,,
2025-07-01,sz.001203,https://static.cninfo.com.cn/finalpage/2025-07-01/1224039629.PDF,after_only,pending,,,,,,
2025-07-02,sh.603879,https://static.cninfo.com.cn/finalpage/2025-07-02/1224058884.PDF,vertical,pending,,,,,,
2025-07-08,sz.003038,https://static.cninfo.com.cn/finalpage/2025-07-08/1224090716.PDF,after_only,pending,,,,,,
2025-07-16,sh.601666,https://static.cninfo.com.cn/finalpage/2025-07-16/1224176463.PDF,vertical,pending,,,,,,
2025-07-17,sz.300131,https://static.cninfo.com.cn/finalpage/2025-07-17/1224202955.PDF,table,pending,,,,,,
2025-07-18,sz.300339,https://static.cninfo.com.cn/finalpage/2025-07-18/1224214859.PDF,after_only,pending,,,,,,
2025-07-23,sh.603501,https://static.cninfo.com.cn/finalpage/2025-07-23/1224255111.PDF,vertical,pending,,,,,,
2025-07-24,sh.603010,https://static.cninfo.com.cn/finalpage/2025-07-24/1224268881.PDF,vertical,pending,,,,,,
2025-07-30,sh.603501,https://static.cninfo.com.cn/finalpage/2025-07-30/1224328593.PDF,vertical,pending,,,,,,
2025-08-01,sz.300964,https://static.cninfo.com.cn/finalpage/2025-08-01/1224367915.PDF,after_only,pending,,,,,,
2025-08-05,sh.600613,https://static.cninfo.com.cn/finalpage/2025-08-05/1224385955.PDF,vertical,pending,,,,,,
2025-08-05,sh.603139,https://static.cninfo.com.cn/finalpage/2025-08-05/1224385199.PDF,vertical,pending,,,,,,
2025-08-05,sz.301152,https://static.cninfo.com.cn/finalpage/2025-08-05/1224401186.PDF,after_only,reject,,,,,,原件解押人为李轩，机械跨层行误配李雯持股和质押存量
2025-08-14,sz.300350,https://static.cninfo.com.cn/finalpage/2025-08-14/1224514031.pdf,after_only,pending,,,,,,
2025-08-15,sz.002729,https://static.cninfo.com.cn/finalpage/2025-08-15/1224485257.PDF,after_only,verified,旭昇亚洲投资有限公司,2025-08-13,16800000,44864400,26830000,原件旭昇投资三笔5800000、5500000、5500000股解押；不计实际控制人汤奇青的5000000股
2025-08-16,sh.600439,https://static.cninfo.com.cn/finalpage/2025-08-16/1224500172.PDF,vertical,pending,,,,,,
2025-08-22,sz.300244,https://static.cninfo.com.cn/finalpage/2025-08-22/1224555740.PDF,table,pending,,,,,,
2025-08-27,sz.300902,https://static.cninfo.com.cn/finalpage/2025-08-27/1224596080.PDF,table,pending,,,,,,
2025-08-28,sz.002004,https://static.cninfo.com.cn/finalpage/2025-08-28/1224587603.PDF,after_only,pending,,,,,,
2025-08-29,sz.300806,https://static.cninfo.com.cn/finalpage/2025-08-29/1224620647.PDF,table,pending,,,,,,
2025-08-30,sz.002127,https://static.cninfo.com.cn/finalpage/2025-08-30/1224625426.PDF,after_only,pending,,,,,,
2025-09-03,sh.600711,https://static.cninfo.com.cn/finalpage/2025-09-03/1224634865.PDF,vertical,pending,,,,,,
2025-09-06,sz.000716,https://static.cninfo.com.cn/finalpage/2025-09-06/1224640893.PDF,after_only,pending,,,,,,
2025-09-09,sz.002688,https://static.cninfo.com.cn/finalpage/2025-09-09/1224643488.PDF,after_only,pending,,,,,,
2025-09-13,sz.300587,https://static.cninfo.com.cn/finalpage/2025-09-13/1224656310.PDF,after_only,pending,,,,,,
2025-09-16,sh.600844,https://static.cninfo.com.cn/finalpage/2025-09-16/1224659292.PDF,vertical,pending,,,,,,
2025-09-16,sz.002729,https://static.cninfo.com.cn/finalpage/2025-09-16/1224661450.PDF,after_only,pending,,,,,,
2025-09-16,sz.300538,https://static.cninfo.com.cn/finalpage/2025-09-16/1224663910.PDF,table,pending,,,,,,
2025-09-19,sz.002271,https://static.cninfo.com.cn/finalpage/2025-09-19/1224668398.PDF,after_only,reject,,,,,,原件只给李卫国及一致行动人合并累计比例，直接比例不可核实
2025-09-23,sz.300575,https://static.cninfo.com.cn/finalpage/2025-09-23/1224673241.PDF,table,pending,,,,,,
2025-09-24,sh.603359,https://static.cninfo.com.cn/finalpage/2025-09-24/1224676460.PDF,vertical,pending,,,,,,
2025-09-26,sh.601778,https://static.cninfo.com.cn/finalpage/2025-09-26/1224680385.PDF,vertical,pending,,,,,,
2025-09-27,sz.300199,https://static.cninfo.com.cn/finalpage/2025-09-27/1224686994.PDF,table,pending,,,,,,
